sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
SignInSuccess,1,180,180,180,180,180,0.0,5.555555555555555,6.944444444444445
Singup Test User,10,366,327,558,233,625,0.0,6.626905235255135,6.698092693836979
SignInBadPassword,1,252,252,252,252,252,0.0,3.968253968253968,4.2278955853174605
Login,11,573,615,702,359,710,0.0,5.450941526263628,6.722698835480674
SignInBadUsername,1,345,345,345,345,345,0.0,2.898550724637681,3.0882019927536235
SignupUserAlreadyExist,1,214,214,214,214,214,0.0,4.672897196261682,4.691150700934579
No Carts,10,559,574,676,384,678,0.0,5.042864346949067,5.318645990922844
SignupSuccess,1,418,418,418,418,418,0.0,2.3923444976076556,2.4180435107655502
Home Page,1,550,550,550,550,550,0.0,1.8181818181818181,1.164772727272727
Create New Cart,10,1185,1151,1397,966,1417,0.0,3.8669760247486464,7.184494030355762
Signup,1,198,198,198,198,198,0.0,5.050505050505051,4.976523042929292
TOTAL,48,616,574,1151,180,1417,0.0,12.924071082390954,16.1069706684168
